data_asset_id,tag_id
hive-table-1,1
hive-table-1,2
hive-table-1,3
hive-table-1,4
adls-file-2,5
adls-file-2,6
adls-file-2,7
adls-file-2,8
snowflake-view-3,2
snowflake-view-3,9
snowflake-view-3,10
snowflake-view-3,11
snowflake-view-3,12
hive-logs-4,13
hive-logs-4,14
hive-logs-4,15
hive-logs-4,16
adls-images-5,17
adls-images-5,18
adls-images-5,19
adls-images-5,20
hive-orders-base,1
hive-orders-base,2
hive-orders-base,21
hive-events-raw,13
hive-events-raw,15
hive-events-raw,22
snowflake-daily-sales,2
snowflake-daily-sales,9
snowflake-daily-sales,10
